Film	director	screenwriter	actor
金刚狼3：殊死一战	詹姆斯·曼高德	詹姆斯·曼高德 / 迈克尔·格林 / 斯科特·弗兰克	休·杰克曼 / 帕特里克·斯图尔特 / 达芙妮·基恩 / 波伊德·霍布鲁克 / 斯戴芬·莫昌特 / 伊丽莎白·罗德里格斯 / 多丽丝·莫尔加多 / 理查德·E·格兰特 / 玛丽·佩顿·斯图尔特 / 伊利斯·尼尔 / 艾瑞琪·拉·塞拉 / 劳伦·格罗斯 / 胡安·贾斯帕 / 克日什托夫·索什斯基 / 萨博·班克森
嫌疑人X的献身	苏有朋	李佳颖 / 黄海 / 苌江 / 王潮 / 迟海 / 冯元良 / 东野圭吾	王凯 / 张鲁一 / 林心如 / 叶祖新 / 丁冠森 / 邓恩熙 / 成泰燊 / 赵阳 / 侯明昊 / 焉栩嘉 / 任熙青 / 李炳易 / 李宏 / 赵燕国彰
鲛珠传	杨磊	张炭 / 徐照青 / 杨磊	王大陆 / 张天爱 / 任达华 / 盛冠森 / 王迅 / 赵健 / 刘俊孝 / 释彦能 / 胡兵 / 何穗 / 蒋璐霞 / 杜奕衡 / 周一围
反转人生	伍仕贤	伍仕贤 / 贾斯汀·麦伦	夏雨 / 闫妮 / 潘斌龙 / 宋茜 / 吴大维 / 宁静 / 王宝强 / 雷佳音 / 李勤勤 / 郭凯敏 / 包贝尔 / 英达 / 景岗山 / 李静 / 肖剑 / 隋凯 / 吴彦祖
美国行动	道格·里曼	加里·斯皮内利	汤姆·克鲁斯 / 多姆纳尔·格里森 / 罗拉·科克 / 杰西·普莱蒙 / 杰玛·梅斯 / 萨拉·赖特 / 卡赖伯·兰德里·琼斯 / 康纳·特里内尔 / 本尼托·马丁内斯 / 艾普尔·比尔林斯利 / 杰德·瑞斯 / 斯蒂芬·考特尔 / 罗伯特·普拉尔戈 / E·罗杰·米切尔 / 贾斯蒂斯·利克 / 莎朗·莫里斯 / 罗伯特·法里奥尔
神奇动物在哪里	大卫·叶茨	J·K·罗琳	埃迪·雷德梅恩 / 凯瑟琳·沃特斯顿 / 丹·福勒 / 艾莉森·萨多尔 / 科林·法瑞尔 / 埃兹拉·米勒 / 朗·普尔曼 / 强·沃特 / 萨曼莎·莫顿 / 嘉玛·陈 / 卡门·艾乔戈 / 克里斯汀·马扎诺 / 詹·穆瑞 / 约翰尼·德普
攻壳机动队	鲁伯特·桑德斯	士郎正宗 / 杰米·莫斯 / 威廉·惠勒 / 伊伦·克鲁格	斯嘉丽·约翰逊 / 皮鲁·埃斯贝克 / 北野武 / 朱丽叶·比诺什 / 迈克尔·皮特 / 黄经汉 / 丹妮西娅·萨马尔 / 拉札勒斯·雷图勒 / 泉原豊 / 托万达·马尼莫 / 彼得·费迪南多 / 安娜玛丽亚·玛琳卡 / 丹尼尔·亨绍尔 / 安德鲁·斯特林 / 桃井薰 / 查尔斯·欧比 / 福岛莉拉 / 约瑟夫·纳瓦胡 / 迈克尔·维克特
血战钢锯岭	梅尔·吉布森	安德鲁·奈特 / 罗伯特·申坎	安德鲁·加菲尔德 / 萨姆·沃辛顿 / 文斯·沃恩 / 雨果·维文 / 卢克·布雷西 / 泰莉莎·帕尔墨 / 瑞切尔·格里菲斯 / 纳撒尼尔·布佐尼克 / 理查德·劳斯伯格 / 马特·纳夫莱 / 费拉斯·迪拉尼 / 瑞安·柯尔 / 卢克·佩格勒
时间中的孩子	朱利安·法里诺	斯蒂芬·布查特 / 伊恩·麦克尤恩	本尼迪克特·康伯巴奇 / 凯莉·麦克唐纳 / 斯蒂芬·坎贝尔·莫尔 / 莎卡亚·瑞丝 / 露西·莱曼 / 安娜·玛德蕾  / 理查德·杜登 / 艾略特·利维 / 劳伦斯·斯佩尔曼 / 杰拉德·摩纳科 / 约翰·霍普金斯
喜欢你	许宏宇	李媛 / 许伊萌 / 蓝白色(原著)	金城武 / 周冬雨 / 孙艺洲 / 奚梦瑶 / 杨祐宁 / 张国柱 / 高晓松 / 林志玲 / 赵英俊 / 海佟
生化危机：终章	保罗·安德森	保罗·安德森	米拉·乔沃维奇 / 伊恩·格雷 / 艾丽·拉特 / 鲁比·罗丝 / 李准基 / 肖恩·罗伯茨 / 威廉·莱维 / 欧文·马肯 / 罗拉 / 艾尔·安德森 / 密尔顿·施尔 / 西沃恩·霍奇森 / 凯文·奥托 / 保罗·汉普赛尔
酒吧	阿莱克斯·德·拉·伊格莱西亚	豪尔赫·格力加耶切瓦利亚 / 阿莱克斯·德·拉·伊格莱西亚	布兰卡·苏亚雷斯 / 马里奥·卡萨斯 / 卡门·马奇 / 塞康·德拉罗萨 / 杰米·奥多尼斯 / 特雷勒·帕维斯 / 华金·克莱门特 / 亚历杭德罗·亚旺达 / 苏·弗拉克
巴霍巴利王(下)：终结	S·S·拉贾穆里	曼孔布·戈帕拉克里希南 / 马德汉·卡尔基 / C·H·维杰·库马尔 / 马努杰·芒塔希尔 / 维杰耶德拉·普拉萨德 / S·S·拉贾穆里	帕拉巴斯 / 拉纳·达格巴提 / 安努舒卡·谢蒂 / 特曼娜·芭蒂亚 / 萨伯拉杰 / 拉姆亚·克里希南 / 纳赛尔 / 挲塞亚拉杰
